,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,mom,adx,obv,atr,cci,macd,trix,next_close,direction
57,SPY,2010-09-29,114.3800,114.9100,114.0200,114.4700,179576563,0.0000,1.0000,94.0474,113.4150,61.8440,75.9417,80.5034,3.2005,-13.6691,1.4506999999999977,3.5500,20.4884,1662927321.0000,1.4814,90.5610,1.4099,0.1799,114.1300,-1
58,SPY,2010-09-30,115.0500,115.7900,113.5900,114.1300,286947461,0.0000,1.0000,93.7680,113.6043,59.9453,78.1712,67.8438,2.3771,-43.5696,1.2265000000000015,2.6500,20.5745,1375979860.0000,1.5327,84.8151,1.3631,0.1834,114.6100,1
59,SPY,2010-10-01,114.9900,115.1200,113.9300,114.6100,174556419,0.0000,1.0000,94.1624,113.7393,61.7316,68.4777,57.0859,1.6767,-30.9711,1.2248499999999964,1.8900,20.6544,1550536279.0000,1.5082,80.0612,1.3492,0.1856,113.7500,-1
60,SPY,2010-10-04,114.3700,114.8500,113.1800,113.7500,165979593,0.0000,1.0000,93.4558,113.8179,56.8405,54.2018,37.6756,0.9765,-53.5433,1.1382499999999993,1.1000,19.9972,1384556686.0000,1.5198,13.7270,1.2543,0.1844,116.0400,1
61,SPY,2010-10-05,114.8000,116.3200,114.6700,116.0400,229309351,0.0000,1.0000,95.3373,114.0293,64.8311,50.2217,55.9037,2.6176,-6.7633,1.37885,2.9600,20.3409,1613866037.0000,1.5948,173.5842,1.3484,0.1856,116.0300,-1
62,SPY,2010-10-06,116.0200,116.3300,115.5600,116.0300,148514950,0.0000,1.0000,95.3291,114.2421,64.7747,53.7929,67.7994,2.6360,-7.2289,1.5128000000000057,2.9800,20.6659,1465351087.0000,1.5359,178.2610,1.4059,0.1878,115.8900,-1
63,SPY,2010-10-07,116.5000,116.5300,115.1900,115.8900,164724633,0.0000,1.0000,95.2140,114.4850,63.9361,70.3960,87.4848,3.0225,-14.7126,1.4487000000000023,3.4000,20.5920,1300626454.0000,1.5219,153.4787,1.4238,0.1897,116.5400,1
64,SPY,2010-10-08,116.0500,116.8600,115.6100,116.5400,177626639,0.0000,1.0000,95.7481,114.6514,66.1286,80.9476,87.5587,2.0401,-6.8376,1.6441000000000017,2.3300,20.7465,1478253093.0000,1.5025,149.6999,1.4734,0.1924,116.6500,1
65,SPY,2010-10-11,116.7200,116.9700,116.2500,116.6500,102920611,0.0000,1.0000,95.8384,114.8421,66.4998,87.0464,86.0956,2.3425,-6.6806,1.7862499999999955,2.6700,20.9660,1581173704.0000,1.4466,132.1515,1.5043,0.1951,117.0100,1
66,SPY,2010-10-12,116.2700,117.3500,115.6500,117.0100,181748883,0.0000,1.0000,96.1342,115.0986,67.7455,86.9571,87.2169,3.1652,-6.5764,1.8635499999999965,3.5900,20.5080,1762922587.0000,1.4647,110.1825,1.5401,0.1979,117.9200,1
67,SPY,2010-10-13,117.6600,118.5500,117.3800,117.9200,193888150,0.0000,1.0000,96.8819,115.4857,70.7104,85.7260,83.8654,4.8178,-11.7318,1.8248000000000033,5.4200,20.9299,1956810737.0000,1.4701,164.1938,1.6231,0.2022,117.4600,-1
68,SPY,2010-10-14,117.8100,118.0100,116.7200,117.4600,217324777,0.0000,1.0000,96.5039,115.6743,67.3406,82.4090,76.1448,2.2993,-20.2980,1.950649999999996,2.6400,20.6357,1739485960.0000,1.4572,110.1544,1.6330,0.2057,117.7000,1
69,SPY,2010-10-15,118.2800,118.3500,116.7600,117.7000,243526366,0.0000,1.0000,96.7011,115.9193,68.1923,77.2106,71.6216,3.0017,-15.8287,2.0030999999999963,3.4300,20.6028,1983012326.0000,1.4667,107.1362,1.6413,0.2086,118.2800,1
70,SPY,2010-10-18,117.7400,118.6700,117.3100,118.2800,141416390,0.0000,1.0000,97.1776,116.1771,70.2139,73.7778,73.5670,3.1482,-7.1038,2.1231500000000025,3.6100,20.7967,2124428716.0000,1.4591,117.1232,1.6754,0.2115,116.7300,-1
71,SPY,2010-10-19,117.1900,117.8500,116.0200,116.7300,280331815,0.0000,1.0000,95.9042,116.3386,59.3567,68.9038,61.5227,1.9743,-35.3370,2.0074499999999986,2.2600,19.6909,1844096901.0000,1.5163,37.3462,1.5593,0.2106,117.8700,1
72,SPY,2010-10-20,116.9400,118.4400,116.8700,117.8700,199776327,0.0000,1.0000,96.8408,116.6057,63.7914,65.4399,61.2300,3.2770,-14.5719,1.860750000000003,3.7400,19.1178,2043873228.0000,1.5301,83.2174,1.5415,0.2092,118.1300,1
73,SPY,2010-10-21,118.4000,119.0900,117.2100,118.1300,221423812,0.0000,1.0000,97.0544,116.8571,64.7365,59.2879,55.1111,3.0713,-16.2437,1.747399999999999,3.5200,19.0507,2265297040.0000,1.5551,100.5863,1.5308,0.2074,118.3500,1
